week_start,week_end,symbol,actual_weekly_pct,pred_close_only_pct,pred_multitask_pct,err_close_only,err_multitask,abs_err_close_only,abs_err_multitask,context_end,n_context_days
2026-01-05,2026-01-09,AAPL,-4.295049713663346,0.4712224006652832,2.4985313415527344,4.766272114328629,6.79358105521608,4.766272114328629,6.79358105521608,2026-01-02,60
2026-01-05,2026-01-09,MSFT,1.340549817135872,-0.8414745330810547,0.43860673904418945,-2.1820243502169268,-0.9019430780916826,2.1820243502169268,0.9019430780916826,2026-01-02,60
2026-01-05,2026-01-09,GOOGL,4.258294046530242,2.1117568016052246,4.858136177062988,-2.1465372449250175,0.5998421305327462,2.1465372449250175,0.5998421305327462,2026-01-02,60
2026-01-05,2026-01-09,JNJ,-1.4275411751806244,0.78887939453125,1.5985608100891113,2.2164205697118744,3.0261019852697357,2.2164205697118744,3.0261019852697357,2026-01-02,60
2026-01-12,2026-01-16,AAPL,-1.4805090836184198,0.39190053939819336,1.9446134567260742,1.8724096230166132,3.425122540344494,1.8724096230166132,3.425122540344494,2026-01-09,60
2026-01-12,2026-01-16,MSFT,-4.051914012100699,-0.5665123462677002,-2.1694600582122803,3.485401665832999,1.8824539538884189,3.485401665832999,1.8824539538884189,2026-01-09,60
2026-01-12,2026-01-16,GOOGL,0.4352170447408543,2.473020553588867,-0.3367006778717041,2.037803508848013,-0.7719177226125584,2.037803508848013,0.7719177226125584,2026-01-09,60
2026-01-12,2026-01-16,JNJ,6.981752686077702,0.5812883377075195,2.2356390953063965,-6.400464348370183,-4.746113590771306,6.400464348370183,4.746113590771306,2026-01-09,60
2026-01-26,2026-01-30,AAPL,4.612166590005673,-0.6588876247406006,0.845646858215332,-5.271054214746274,-3.766519731790341,5.271054214746274,3.766519731790341,2026-01-23,60
2026-01-26,2026-01-30,MSFT,-7.65318225729864,-1.0824024677276611,-1.36832594871521,6.570779789570979,6.28485630858343,6.570779789570979,6.28485630858343,2026-01-23,60
2026-01-26,2026-01-30,GOOGL,3.070779602088658,1.6675233840942383,2.2739410400390625,-1.4032562179944197,-0.7968385620495955,1.4032562179944197,0.7968385620495955,2026-01-23,60
2026-01-26,2026-01-30,JNJ,3.2297631643792624,1.2285828590393066,0.9666919708251953,-2.0011803053399557,-2.263071193554067,2.0011803053399557,2.263071193554067,2026-01-23,60
2026-02-02,2026-02-06,AAPL,7.1835915452622245,-0.29317140579223633,-1.8509209156036377,-7.476762951054461,-9.034512460865862,7.476762951054461,9.034512460865862,2026-01-30,60
2026-02-02,2026-02-06,MSFT,-6.774499364988429,-1.5016376972198486,2.0189881324768066,5.272861667768581,8.793487497465236,5.272861667768581,8.793487497465236,2026-01-30,60
2026-02-02,2026-02-06,GOOGL,-4.479294274685652,1.4845013618469238,3.6272168159484863,5.963795636532576,8.10651109063414,5.963795636532576,8.10651109063414,2026-01-30,60
2026-02-02,2026-02-06,JNJ,5.60616303329553,1.6785025596618652,-1.3778150081634521,-3.927660473633665,-6.9839780414589825,3.927660473633665,6.9839780414589825,2026-01-30,60
2026-02-09,2026-02-13,AAPL,-8.03250277941273,0.26782751083374023,-6.854259967803955,8.300330290246471,1.1782428116087758,8.300330290246471,1.1782428116087758,2026-02-06,60
2026-02-09,2026-02-13,MSFT,0.04487028698418882,-1.9009828567504883,1.83180570602417,-1.945853143734677,1.786935419039981,1.945853143734677,1.786935419039981,2026-02-06,60
2026-02-09,2026-02-13,GOOGL,-5.308797902656048,0.9105205535888672,3.506135940551758,6.219318456244915,8.814933843207806,6.219318456244915,8.814933843207806,2026-02-06,60
2026-02-09,2026-02-13,JNJ,1.4417231450818413,2.041637897491455,-3.608447313308716,0.5999147524096138,-5.050170458390557,0.5999147524096138,5.050170458390557,2026-02-06,60
2026-02-23,2026-02-27,AAPL,-0.15118070783299853,-0.2054750919342041,-2.3387134075164795,-0.05429438410120557,-2.187532699683481,0.05429438410120557,2.187532699683481,2026-02-20,60
2026-02-23,2026-02-27,MSFT,-1.1303327109661865,-1.4154672622680664,-2.3901164531707764,-0.2851345513018799,-1.2597837422045899,0.2851345513018799,1.2597837422045899,2026-02-20,60
2026-02-23,2026-02-27,GOOGL,-1.022287481234152,0.42957067489624023,0.813138484954834,1.4518581561303923,1.835425966188986,1.4518581561303923,1.835425966188986,2026-02-20,60
2026-02-23,2026-02-27,JNJ,2.4495802086922147,1.4620423316955566,2.6401400566101074,-0.9875378769966581,0.1905598479178927,0.9875378769966581,0.1905598479178927,2026-02-20,60
2026-03-02,2026-03-06,AAPL,-2.543720723374532,-0.5621969699859619,1.0594367980957031,1.98152375338857,3.603157521470235,1.98152375338857,3.603157521470235,2026-02-27,60
2026-03-02,2026-03-06,MSFT,4.1299591648468414,-1.757901906967163,-3.6790668964385986,-5.8878610718140045,-7.80902606128544,5.8878610718140045,7.80902606128544,2026-02-27,60
2026-03-02,2026-03-06,GOOGL,-4.246863079683227,-0.07153749465942383,1.6744256019592285,4.175325585023804,5.921288681642456,4.175325585023804,5.921288681642456,2026-02-27,60
2026-03-02,2026-03-06,JNJ,-3.2322984406221056,1.6080856323242188,2.3897171020507812,4.840384072946325,5.622015542672887,4.840384072946325,5.622015542672887,2026-02-27,60
2026-03-09,2026-03-13,AAPL,-2.850926971762635,-0.6251811981201172,0.8599758148193359,2.225745773642518,3.710902786581971,2.225745773642518,3.710902786581971,2026-03-06,60
2026-03-09,2026-03-13,MSFT,-3.279050259756855,-1.5003979206085205,-7.104957103729248,1.7786523391483344,-3.825906843972393,1.7786523391483344,3.825906843972393,2026-03-06,60
2026-03-09,2026-03-13,GOOGL,1.2595504167236093,-0.4032552242279053,1.1596202850341797,-1.6628056409515146,-0.09993013168942966,1.6628056409515146,0.09993013168942966,2026-03-06,60
2026-03-09,2026-03-13,JNJ,0.46589451098688617,1.487123966217041,3.7583112716674805,1.0212294552301548,3.2924167606805943,1.0212294552301548,3.2924167606805943,2026-03-06,60
2026-03-16,2026-03-20,AAPL,-0.8515871044317946,-0.7471442222595215,1.5033721923828125,0.10444288217227315,2.354959296814607,0.10444288217227315,2.354959296814607,2026-03-13,60
2026-03-16,2026-03-20,MSFT,-3.458473795464101,-1.498711109161377,-3.729093074798584,1.959762686302724,-0.27061927933448304,1.959762686302724,0.27061927933448304,2026-03-13,60
2026-03-16,2026-03-20,GOOGL,-0.4234480562610554,-0.15006065368652344,1.3196945190429688,0.273387402574532,1.7431425753040242,0.273387402574532,1.7431425753040242,2026-03-13,60
2026-03-16,2026-03-20,JNJ,-2.546376716826959,1.0167956352233887,3.4537672996520996,3.5631723520503478,6.000144016479059,3.5631723520503478,6.000144016479059,2026-03-13,60
2026-03-23,2026-03-27,AAPL,0.3266250819193184,-0.7241487503051758,1.3921022415161133,-1.0507738322244942,1.065477159596795,1.0507738322244942,1.065477159596795,2026-03-20,60
