fold,decision_date,n_symbols,rank_ic,top15_excess,top15_bottom15_spread,mae,mse,top15_overlap,top15_turnover,model,seed
development_2024,2024-01-08,420,0.12854203093150024,-0.018935218067277403,0.010889235795569753,0.030528019255393852,0.0018039371422034173,,,mean,20260823
development_2024,2024-01-15,420,0.20266409025642354,0.00783900903266463,0.03134382394358329,0.03295559363096992,0.0022023537656727958,0.7333333333333333,0.26666666666666666,mean,20260823
development_2024,2024-01-22,420,-0.1579995999329442,-0.014135351489784105,-0.0342302082808336,0.0311558516888043,0.001843531401529915,0.4666666666666667,0.5333333333333333,mean,20260823
development_2024,2024-01-29,420,0.2222453480056981,0.02411811521691222,0.056059155842369576,0.03374050769439278,0.0022173528846338897,0.7333333333333333,0.26666666666666666,mean,20260823
development_2024,2024-02-05,420,0.1378948536313374,0.018823442317867433,0.03246055809852988,0.0358428744382948,0.0034187500971261573,0.7333333333333333,0.26666666666666666,mean,20260823
development_2024,2024-02-12,420,-0.057424685757045915,0.021901483992841923,0.0006838816588769607,0.031816423008918245,0.001838050481021036,0.4666666666666667,0.5333333333333333,mean,20260823
development_2024,2024-02-19,420,0.11588363862945615,0.023562734296335895,0.023933535813363833,0.02624005347180299,0.0015424134198079626,0.8,0.2,mean,20260823
development_2024,2024-02-26,420,0.15532562947797726,0.06287721756726385,0.06494977134096361,0.033468811019443614,0.003340729858913852,0.6,0.4,mean,20260823
development_2024,2024-03-04,421,-0.18486355310324418,0.015410335953462992,0.03139449334193101,0.03061296442005549,0.0019054437068602398,0.6666666666666666,0.3333333333333333,mean,20260823
development_2024,2024-03-11,421,-0.1817523483597264,-0.013398514099027141,-0.02287648246313313,0.03764775099027509,0.0027488841432751726,0.8,0.2,mean,20260823
development_2024,2024-03-18,421,0.20617578026074332,0.01774820441100872,0.03381118130474041,0.02719613737000491,0.001565955885474341,0.8,0.2,mean,20260823
development_2024,2024-03-25,422,-0.1494530493835174,0.005047299684760376,-0.008261036635925758,0.026458532679352848,0.0012674199876849927,0.8,0.2,mean,20260823
development_2024,2024-04-01,422,0.18282664564020726,0.014556816902410417,0.0018590627851001328,0.03482600364820603,0.0020434705658775544,0.8666666666666667,0.13333333333333333,mean,20260823
development_2024,2024-04-08,422,-0.14035329338018623,-0.010932532107355415,-0.04178090549451427,0.03721034000964647,0.0020031480025640707,0.8,0.2,mean,20260823
development_2024,2024-04-15,422,-0.25024784092768076,-0.07360708186930032,-0.07624839682053433,0.04746319650759415,0.004168674790900238,0.8666666666666667,0.13333333333333333,mean,20260823
development_2024,2024-04-22,422,0.04395093687742866,0.06908559183380449,0.06266429884511836,0.03933252516851023,0.002966306607237186,0.7333333333333333,0.26666666666666666,mean,20260823
development_2024,2024-04-29,422,-0.20690120717713156,0.02911434310240286,0.011009779919860536,0.03531268012710222,0.0026828811674030014,0.7333333333333333,0.26666666666666666,mean,20260823
development_2024,2024-05-06,422,0.09954682455033949,0.015805733741499867,0.04126980521428886,0.0294766017696568,0.0017961669620821944,0.7333333333333333,0.26666666666666666,mean,20260823
development_2024,2024-05-13,422,-0.010314989324895824,0.05122467524489137,0.049843789432793495,0.028951140680710554,0.0017067639832325891,0.7333333333333333,0.26666666666666666,mean,20260823
development_2024,2024-05-20,422,0.042209643285508844,-0.01201849304207444,0.006015432757842366,0.03376044284103815,0.002247161999331117,0.8,0.2,mean,20260823
development_2024,2024-05-27,422,-0.011565590601517538,-0.024440077657020533,-0.04402909273749207,0.03312649429285434,0.0022459493383137235,0.8,0.2,mean,20260823
development_2024,2024-06-03,422,-0.13679119178457502,-0.03996831029503053,-0.03823016477985229,0.032183274110184776,0.0018275527495431633,0.6,0.4,mean,20260823
development_2024,2024-06-10,422,0.022357859320158574,0.01178357777164004,0.009530922319656627,0.03026190253400354,0.001797239796464739,0.5333333333333333,0.4666666666666667,mean,20260823
development_2024,2024-06-17,422,-0.17854263227224607,-0.030897806100254048,-0.025017298349459594,0.029919614028971177,0.001524447749445757,0.4666666666666667,0.5333333333333333,mean,20260823
development_2024,2024-06-24,422,-0.19829989539862966,-0.0168769862703588,-0.016343556839733594,0.028432183995767576,0.0015694678387572559,0.5333333333333333,0.4666666666666667,mean,20260823
development_2024,2024-07-01,423,0.3078800902839479,0.029887778927001327,0.04166999686109098,0.02446453698201076,0.0011778720845061076,0.6666666666666666,0.3333333333333333,mean,20260823
development_2024,2024-07-08,423,-0.159391344384809,-0.0031553506963478764,-0.01678795155451262,0.03579871502724996,0.0021173166070708317,0.5333333333333333,0.4666666666666667,mean,20260823
development_2024,2024-07-15,423,-0.2508217576957933,-0.03366595663275507,-0.04271917765830559,0.03995430812901761,0.003084647109363652,0.7333333333333333,0.26666666666666666,mean,20260823
development_2024,2024-07-22,423,-0.2006041655171889,-0.022397983031355897,0.019018316897114904,0.0403656296743584,0.00336398438307554,0.4,0.6,mean,20260823
development_2024,2024-07-29,423,-0.06449331336888628,-0.02594274188417772,-0.04165283225421658,0.05354487229832082,0.004986512881267157,0.6,0.4,mean,20260823
development_2024,2024-08-05,423,-0.08093924859351487,0.01786030433905022,0.0009621664970050209,0.03553642791830206,0.0026792169025692644,0.4666666666666667,0.5333333333333333,mean,20260823
development_2024,2024-08-12,423,-0.07519312812063396,0.023091154536586063,0.009297007372088696,0.03732634221918669,0.0026790573024875575,0.4666666666666667,0.5333333333333333,mean,20260823
development_2024,2024-08-19,423,0.11212180595800489,0.013752387399167603,0.015413412568276354,0.028715395121682388,0.001506289264592172,0.6,0.4,mean,20260823
