week_start,week_end,symbol,actual_weekly_pct,pred_pct,pp_error_actual_minus_pred,abs_pp,context_end
2026-01-05,2026-01-09,AAPL,-4.295049713663346,0.4827141761779785,-4.777763889841324,4.777763889841324,2026-01-02
2026-01-05,2026-01-09,AMD,-9.08399469318888,0.529634952545166,-9.613629645734045,9.613629645734045,2026-01-02
2026-01-05,2026-01-09,AVGO,-0.7623249334639093,0.33675432205200195,-1.0990792555159112,1.0990792555159112,2026-01-02
2026-01-05,2026-01-09,GOOGL,4.258294046530242,2.1313905715942383,2.126903474936004,2.126903474936004,2026-01-02
2026-01-05,2026-01-09,LLY,-1.5550304514791446,2.113223075866699,-3.668253527345844,3.668253527345844,2026-01-02
2026-01-05,2026-01-09,META,0.40743908050031585,-0.7239699363708496,1.1314090168711655,1.1314090168711655,2026-01-02
2026-01-05,2026-01-09,MSFT,1.340549817135872,-0.8278369903564453,2.1683868074923174,2.1683868074923174,2026-01-02
2026-01-05,2026-01-09,MU,9.40649979299868,4.59364652633667,4.81285326666201,4.81285326666201,2026-01-02
2026-01-05,2026-01-09,NVDA,-2.1127907673865853,0.2121448516845703,-2.3249356190711556,2.3249356190711556,2026-01-02
2026-01-05,2026-01-09,TSLA,1.5842222305508802,0.14857053756713867,1.4356516929837415,1.4356516929837415,2026-01-02
2026-01-05,2026-01-09,TSM,1.2577890915479673,0.7385611534118652,0.519227938136102,0.519227938136102,2026-01-02
2026-01-05,2026-01-09,XOM,1.5980424460566134,0.6128311157226562,0.9852113303339571,0.9852113303339571,2026-01-02
2026-01-12,2026-01-16,AAPL,-1.4805090836184198,0.4029989242553711,-1.883508007873791,1.883508007873791,2026-01-09
2026-01-12,2026-01-16,AMD,14.10641527804577,-0.5263030529022217,14.632718330947991,14.632718330947991,2026-01-09
2026-01-12,2026-01-16,AVGO,1.9537902456807865,0.07457733154296875,1.8792129141378178,1.8792129141378178,2026-01-09
2026-01-12,2026-01-16,GOOGL,0.4352170447408543,2.494633197784424,-2.0594161530435695,2.0594161530435695,2026-01-09
2026-01-12,2026-01-16,LLY,-2.365643009662688,2.3060083389282227,-4.671651348590911,4.671651348590911,2026-01-09
2026-01-12,2026-01-16,META,-5.024040315017142,-0.6407737731933594,-4.383266541823783,4.383266541823783,2026-01-09
2026-01-12,2026-01-16,MSFT,-4.051914012100699,-0.5520820617675781,-3.499831950333121,3.499831950333121,2026-01-09
2026-01-12,2026-01-16,MU,5.117506693766294,5.3156256675720215,-0.19811897380572763,0.19811897380572763,2026-01-09
2026-01-12,2026-01-16,NVDA,0.7410987302089111,0.2602219581604004,0.48087677204851076,0.48087677204851076,2026-01-09
2026-01-12,2026-01-16,TSLA,-1.6876046832250524,0.3530740737915039,-2.0406787570165563,2.0406787570165563,2026-01-09
2026-01-12,2026-01-16,TSM,5.799829660562095,0.7802486419677734,5.019581018594321,5.019581018594321,2026-01-09
2026-01-12,2026-01-16,XOM,4.237219126422387,0.895845890045166,3.341373236377221,3.341373236377221,2026-01-09
2026-01-26,2026-01-30,AAPL,4.612166590005673,-0.6495535373687744,5.261720127374447,5.261720127374447,2026-01-23
2026-01-26,2026-01-30,AMD,-8.83779944375459,0.05644559860229492,-8.894245042356886,8.894245042356886,2026-01-23
2026-01-26,2026-01-30,AVGO,3.5150759034795698,-0.9666085243225098,4.4816844278020795,4.4816844278020795,2026-01-23
2026-01-26,2026-01-30,GOOGL,3.070779602088658,1.6883134841918945,1.3824661178967634,1.3824661178967634,2026-01-23
2026-01-26,2026-01-30,LLY,-2.550058128171928,2.1682143211364746,-4.718272449308403,4.718272449308403,2026-01-23
2026-01-26,2026-01-30,META,8.764950722330234,-1.0440170764923096,9.808967798822543,9.808967798822543,2026-01-23
2026-01-26,2026-01-30,MSFT,-7.65318225729864,-1.0668516159057617,-6.586330641392879,6.586330641392879,2026-01-23
2026-01-26,2026-01-30,MU,3.810837287357227,5.177474021911621,-1.366636734554394,1.366636734554394,2026-01-23
2026-01-26,2026-01-30,NVDA,1.8436653421568305,-0.12846589088439941,1.97213123304123,1.97213123304123,2026-01-23
2026-01-26,2026-01-30,TSLA,-4.15311851375737,-0.014132261276245117,-4.138986252481125,4.138986252481125,2026-01-23
2026-01-26,2026-01-30,TSM,-1.2870659125746697,1.0047197341918945,-2.2917856467665643,2.2917856467665643,2026-01-23
2026-01-26,2026-01-30,XOM,4.76401616479718,1.298511028289795,3.4655051365073852,3.4655051365073852,2026-01-23
2026-02-02,2026-02-06,AAPL,7.1835915452622245,-0.2814054489135742,7.464996994175799,7.464996994175799,2026-01-30
2026-02-02,2026-02-06,AMD,-11.950320532549997,-0.7082521915435791,-11.242068341006417,11.242068341006417,2026-01-30
2026-02-02,2026-02-06,AVGO,0.48899055069628883,-0.6918966770172119,1.1808872277135007,1.1808872277135007,2026-01-30
2026-02-02,2026-02-06,GOOGL,-4.479294274685652,1.5030384063720703,-5.982332681057723,5.982332681057723,2026-01-30
2026-02-02,2026-02-06,LLY,2.0276747627476333,1.2579798698425293,0.769694892905104,0.769694892905104,2026-01-30
2026-02-02,2026-02-06,META,-7.681783395302688,1.0133862495422363,-8.695169644844924,8.695169644844924,2026-01-30
2026-02-02,2026-02-06,MSFT,-6.774499364988429,-1.4828681945800781,-5.291631170408351,5.291631170408351,2026-01-30
2026-02-02,2026-02-06,MU,-4.866467943450092,4.9446940422058105,-9.811161985655904,9.811161985655904,2026-01-30
2026-02-02,2026-02-06,NVDA,-2.9927280252047272,-0.6192982196807861,-2.373429805523941,2.373429805523941,2026-01-30
2026-02-02,2026-02-06,TSLA,-4.484100775152589,-0.6522655487060547,-3.8318352264465343,3.8318352264465343,2026-01-30
2026-02-02,2026-02-06,TSM,5.533037475800406,0.7142543792724609,4.8187830965279455,4.8187830965279455,2026-01-30
2026-02-02,2026-02-06,XOM,5.410190583794372,1.8537521362304688,3.5564384475639033,3.5564384475639033,2026-01-30
2026-02-09,2026-02-13,AAPL,-8.03250277941273,0.2846956253051758,-8.317198404717907,8.317198404717907,2026-02-06
2026-02-09,2026-02-13,AMD,-0.5373225408123461,-1.2295663356781006,0.6922437948657545,0.6922437948657545,2026-02-06
2026-02-09,2026-02-13,AVGO,-2.3278864854672787,-0.5543351173400879,-1.7735513681271908,1.7735513681271908,2026-02-06
2026-02-09,2026-02-13,GOOGL,-5.308797902656048,0.9277701377868652,-6.236568040442913,6.236568040442913,2026-02-06
2026-02-09,2026-02-13,LLY,-1.7180491776594975,0.8028268814086914,-2.520876059068189,2.520876059068189,2026-02-06
2026-02-09,2026-02-13,META,-3.2791101080788976,0.4212498664855957,-3.7003599745644933,3.7003599745644933,2026-02-06
2026-02-09,2026-02-13,MSFT,0.04487028698418882,-1.8806636333465576,1.9255339203307464,1.9255339203307464,2026-02-06
