decision_date,rank_ic,top3_excess,top3_bottom3_spread,ndcg_at_3,prediction_dispersion,mae,mse,arm
2024-01-08,0.482517482517,0.00320268319198,0.0513292970065,0.691198033695,0.00893276239763,0.0434726985278,0.00252714622676,legacy_effective
2024-01-15,0.762237762238,0.0674421657276,0.131244760928,0.952760275,0.0116677607561,0.0500011171058,0.00382821313161,legacy_effective
2024-01-22,-0.188811188811,0.00439958237843,0.0240981475973,0.512186428265,0.0151424523934,0.0302041639197,0.00232274135544,legacy_effective
2024-01-29,0.0769230769231,0.0128155638695,0.0404058714892,0.686719766301,0.0159385017307,0.048651922062,0.00440723469703,legacy_effective
2024-02-05,-0.153846153846,-0.0225898423389,0.000347284909439,0.303332939132,0.0158779899062,0.0462980796269,0.00349033465081,legacy_effective
2024-02-12,-0.041958041958,0.0195824267163,-0.000405889503841,0.691198033695,0.0148048586019,0.046606931362,0.00256257264308,legacy_effective
2024-02-19,0.391608391608,0.015253009745,0.0414830095385,0.811041100002,0.0150920208351,0.0276115552165,0.00184400216216,legacy_effective
2024-02-26,0.454545454545,0.0357311468173,0.0568231507559,0.769270402175,0.0174378345679,0.037167953116,0.00283281457565,legacy_effective
2024-03-04,0.475524475524,0.0375115428734,0.0849935161937,0.816510127175,0.0204184142946,0.0440895431704,0.00315914503344,legacy_effective
2024-03-11,-0.300699300699,-0.0181830161969,-0.0349837217164,0.513177188043,0.0223273612718,0.0551896801758,0.00401991852196,legacy_effective
2024-03-18,0.0559440559441,-0.0245628287866,-0.0146581215332,0.649427335869,0.0212572858594,0.0487409687751,0.0047556067214,legacy_effective
2024-03-25,-0.461538461538,-0.0342554742472,-0.0381988955946,0.240676892392,0.021881934058,0.0401485363821,0.00275981917057,legacy_effective
2024-04-01,0.391608391608,0.0275062166143,0.0569687293987,0.665834417387,0.0205374924185,0.0286965407152,0.00159013659501,legacy_effective
2024-04-08,-0.48951048951,-0.010974123177,-0.0495087068572,0.460468435871,0.0196268725765,0.0405901850312,0.0019528022502,legacy_effective
2024-04-15,-0.132867132867,-0.0286607949483,-0.00568435266872,0.329687315218,0.0165273311412,0.0949774329056,0.0112937100296,legacy_effective
2024-04-22,-0.20979020979,-0.0104270411713,-0.0318168420366,0.673800192398,0.0152927633813,0.0786202251119,0.00852634548147,legacy_effective
2024-04-29,-0.251748251748,0.00476484444079,-0.0274171007013,0.674790952176,0.0124347082268,0.0349828049676,0.00205468340444,legacy_effective
2024-05-06,0.307692307692,0.00611561861825,0.00525391603636,0.69567630109,0.0106616711471,0.0273503083993,0.00117536742477,legacy_effective
2024-05-13,-0.27972027972,-0.00389056929076,-0.0294684741079,0.55494788587,0.0125641202214,0.0272533443777,0.0014528417654,legacy_effective
2024-05-20,0.0979020979021,0.0347123403488,0.0479430864265,0.679269219571,0.0117019546552,0.0324263543384,0.00237354130639,legacy_effective
2024-05-27,0.202797202797,0.02373753054,0.0314694938101,0.7339594913,0.0131813744918,0.0286523360857,0.00130575823816,legacy_effective
2024-06-03,0.125874125874,0.0196854434281,0.0136598400789,0.690207273917,0.0120170062707,0.0382278446809,0.00214707092744,legacy_effective
2024-06-10,0.65034965035,0.0139114688347,0.0554323899912,0.791146510867,0.011188406689,0.0511706515821,0.00567219784998,legacy_effective
2024-06-17,-0.657342657343,-0.0547148891609,-0.0797302856426,0.276978563046,0.0139817001809,0.0402693453544,0.0032909170307,legacy_effective
2024-06-24,-0.545454545455,-0.0247288480966,-0.0394215504858,0.298854671737,0.0102827108759,0.030939708051,0.0015904642383,legacy_effective
2024-07-01,0.216783216783,-0.000117893795355,0.022434979425,0.571354967388,0.0104644043141,0.0596145189674,0.00822953173213,legacy_effective
2024-07-08,0.0979020979021,0.00897553879055,0.0176614348668,0.71109262283,0.0120676477048,0.0280769000991,0.00135301837412,legacy_effective
2024-07-15,-0.0979020979021,0.0198934952264,-0.0317083689476,0.737446998916,0.01319917753,0.0923981354318,0.0107243907742,legacy_effective
2024-07-22,-0.34965034965,-0.00938601858057,-0.0206143133131,0.36697974565,0.0146430488395,0.0572371731771,0.0041053451677,legacy_effective
2024-07-29,0.0769230769231,0.00305273452992,0.0374620876007,0.603178370648,0.00993766893747,0.0510480332082,0.00435606657343,legacy_effective
2024-08-05,-0.174825174825,-0.0463469043312,-0.0254691716163,0.240676892392,0.0107634203904,0.0417194665885,0.00278094355064,legacy_effective
2024-08-12,0.0979020979021,0.0213265856162,0.00306424914553,0.67130344456,0.0111199325591,0.0659217304993,0.00823989689572,legacy_effective
2024-08-19,0.328671328671,0.00917371980819,0.0112882947356,0.769270402175,0.0113469303268,0.0194159848299,0.000550017621037,legacy_effective
2024-08-26,0.167832167832,0.00537462462362,0.0264248682837,0.528593509783,0.0114704080104,0.0270174768763,0.0013361842661,legacy_effective
2024-09-02,0.342657342657,0.00658425574875,0.0339644105439,0.732968731522,0.0121684187456,0.0629429252796,0.00532146457425,legacy_effective
2024-09-09,-0.405594405594,-0.0380920278668,-0.0369131609936,0.449530381525,0.0133004166667,0.0861543084239,0.011620263064,legacy_effective
2024-09-16,0.517482517483,0.0141573223341,0.0312669965957,0.754844840214,0.0143044065147,0.0266722742927,0.000982391528647,legacy_effective
2024-09-23,-0.0839160839161,0.00776557265363,-0.0393832627387,0.769270402175,0.0130734904498,0.0424135208947,0.00517126085325,legacy_effective
2024-09-30,0.34965034965,-0.0101481268089,0.0213286938768,0.595727823918,0.00743594990107,0.0310847761268,0.00126990337858,legacy_effective
2024-10-07,-0.111888111888,-0.00345558603967,-0.00567770961994,0.465937463044,0.00846769130748,0.0408148228258,0.0030060956805,legacy_effective
2024-10-14,-0.286713286713,-0.00431386238921,-0.0206172813557,0.44505211413,0.00889819631286,0.0308009681,0.0013077377114,legacy_effective
2024-10-21,-0.20979020979,-0.0035045074841,-0.0738686128238,0.675781711955,0.00819838535862,0.0384209852821,0.0046173582561,legacy_effective
2024-10-28,-0.363636363636,-0.0121336670061,-0.0423077040123,0.465937463044,0.00835789033231,0.0618930574328,0.00451318298018,legacy_effective
2024-11-04,0.657342657343,0.0682767589479,0.108194350923,0.85927158478,0.00793272383259,0.0641874982494,0.00868927828401,legacy_effective
2024-11-11,0.111888111888,0.0175611489239,0.00409931939651,0.790155751089,0.0111014717256,0.0639667115901,0.00576668011606,legacy_effective
2024-11-18,-0.027972027972,0.0216305527634,0.00918424750625,0.768279642397,0.0136756706366,0.0264453165683,0.00116989483201,legacy_effective
2024-11-25,-0.622377622378,-0.0148404471338,-0.0420501161612,0.371458013045,0.015350897973,0.0384160482052,0.00184526938764,legacy_effective
2024-12-02,0.447552447552,0.0357030520969,0.0534193550052,0.815519367396,0.0115201338153,0.0482831494207,0.00334610715933,legacy_effective
2024-12-09,0.328671328671,-0.00455110776592,0.0700704733131,0.616613172831,0.0140586311514,0.0559516925627,0.00712456744745,legacy_effective
2024-12-16,0.258741258741,0.0158457507562,0.0294478381185,0.675781711955,0.0175616130078,0.0434370942755,0.00313390805016,legacy_effective
2024-12-23,0.104895104895,0.0156598404321,0.0258058819079,0.608647397821,0.0184171122839,0.0259866893194,0.0009878398431,legacy_effective
2024-12-30,-0.230769230769,-0.0396110645579,-0.0240334065357,0.293385644564,0.0189150885089,0.0533256465617,0.00413963227533,legacy_effective
2025-01-06,-0.335664335664,-0.00223234571266,-0.0220064529805,0.549478858697,0.0185047210451,0.0409471034154,0.00220379203211,legacy_effective
2025-01-13,0.230769230769,0.0323157955356,0.0504635038457,0.890104228261,0.0197936095067,0.0375946371113,0.00213956991562,legacy_effective
2025-01-20,-0.27972027972,-0.0398398693865,-0.0934234699583,0.381405307612,0.0210434072072,0.0808644266475,0.00988162977127,legacy_effective
2025-01-27,-0.034965034965,0.00563182437102,-0.0137808573286,0.601196851091,0.0162843185974,0.0652523927181,0.00627032092354,legacy_effective
2025-02-03,-0.300699300699,-0.010605350136,-0.0246060947383,0.461459195649,0.016346868009,0.0528613661641,0.0046414638057,legacy_effective
2025-02-10,-0.496503496503,-0.00600395413809,-0.0492581056044,0.560416913043,0.0128802726012,0.0379289101749,0.00246915638911,legacy_effective
2025-02-17,-0.433566433566,-0.0157629790942,-0.0439404709703,0.345103636958,0.0123417317143,0.0552329246819,0.00461074078809,legacy_effective
2025-02-24,0.230769230769,0.0302973674796,0.0357866693619,0.654896363042,0.0116298218375,0.0617244553055,0.00511773827127,legacy_effective
2025-03-03,-0.0839160839161,-0.0150943370115,0.0184405667504,0.371458013045,0.012109801021,0.0399113224055,0.00260304657228,legacy_effective
2025-03-10,-0.27972027972,-0.0195172188601,-0.0425317933608,0.491301079351,0.0121875911449,0.0445511143864,0.00325548892051,legacy_effective
2025-03-17,-0.20979020979,-0.00130167424731,-0.0233076712241,0.728490464127,0.0125347530577,0.0301411495683,0.00127972649446,legacy_effective
2025-03-24,-0.013986013986,0.0126346921681,-0.0213469098889,0.759323107608,0.0133762421366,0.0476556369778,0.00326347445797,legacy_effective
