fold,decision_date,n_symbols,rank_ic,top15_excess,top15_bottom15_spread,mae,mse,top15_overlap,top15_turnover,model,seed
development_2024,2024-01-08,420,0.14624394534144589,-0.01891505875277652,0.008009680168042488,0.030341971744175186,0.0017799708275074262,,,patch_8_stride_4,20260823
development_2024,2024-01-15,420,0.2775577768905395,0.010422875706260859,0.031326885503410645,0.03301916986374212,0.0021954994276718654,0.7333333333333333,0.26666666666666666,patch_8_stride_4,20260823
development_2024,2024-01-22,420,-0.1548444152177733,-0.017750232827767987,-0.036105762642953676,0.03087914447711159,0.001807567849779708,0.6666666666666666,0.3333333333333333,patch_8_stride_4,20260823
development_2024,2024-01-29,420,0.19322266971063168,0.010300911599921634,0.05006422342751493,0.033987046755946895,0.002230394740675909,0.6666666666666666,0.3333333333333333,patch_8_stride_4,20260823
development_2024,2024-02-05,420,0.14890803559786941,0.03283908193034796,0.061763266621522095,0.035763965328780095,0.0033838272163645836,0.6,0.4,patch_8_stride_4,20260823
development_2024,2024-02-12,420,-0.078665007009272,0.011544735565681523,-0.02059736648770674,0.03187133303227748,0.0018566077656167915,0.4666666666666667,0.5333333333333333,patch_8_stride_4,20260823
development_2024,2024-02-19,420,0.1185991546194041,0.02661647243255156,0.03473449548639886,0.026453664476572325,0.0015653754338985138,0.6,0.4,patch_8_stride_4,20260823
development_2024,2024-02-26,420,0.15233500675821776,0.022909360391551756,0.02872377955462134,0.03335792895768826,0.0033739021346385597,0.7333333333333333,0.26666666666666666,patch_8_stride_4,20260823
development_2024,2024-03-04,421,-0.1454357150093999,0.018403784330982956,0.017405097090421102,0.030160870390611223,0.0018767851089696076,0.6666666666666666,0.3333333333333333,patch_8_stride_4,20260823
development_2024,2024-03-11,421,-0.20263518044698037,-0.011960024795646371,-0.03622874392477217,0.037108507884378916,0.002712074042853436,0.7333333333333333,0.26666666666666666,patch_8_stride_4,20260823
development_2024,2024-03-18,421,0.19220832625227077,0.024599251810438923,0.031230027392682692,0.027658660488272566,0.0016191099415598768,0.7333333333333333,0.26666666666666666,patch_8_stride_4,20260823
development_2024,2024-03-25,422,-0.12492595909469022,0.0011642004865895514,-0.011624309713475339,0.026409064105108845,0.0012720834136697445,0.8,0.2,patch_8_stride_4,20260823
development_2024,2024-04-01,422,0.1579710967618726,0.004824170292910423,-0.005230577274313881,0.03565929700603232,0.00217090966352528,0.8666666666666667,0.13333333333333333,patch_8_stride_4,20260823
development_2024,2024-04-08,422,-0.1294204286711934,-0.009552436201530873,-0.034131688605567125,0.03780402970313238,0.002069591347604848,0.8,0.2,patch_8_stride_4,20260823
development_2024,2024-04-15,422,-0.25317267125534654,-0.07729961760223962,-0.07987513805202015,0.04802202929709485,0.004292681079073419,0.8666666666666667,0.13333333333333333,patch_8_stride_4,20260823
development_2024,2024-04-22,422,0.027490642642723204,0.055371972436471364,0.04958136539172354,0.040129905815138915,0.0030919360068782566,0.7333333333333333,0.26666666666666666,patch_8_stride_4,20260823
development_2024,2024-04-29,422,-0.19812240487574984,0.02919830224559192,-0.0008008439009866627,0.035074683122012854,0.002664809803408707,0.6666666666666666,0.3333333333333333,patch_8_stride_4,20260823
development_2024,2024-05-06,422,0.07786041404145302,-0.0021974906289888903,0.02780587894359466,0.029810343644223206,0.0018018044012600076,0.7333333333333333,0.26666666666666666,patch_8_stride_4,20260823
development_2024,2024-05-13,422,0.016560572967849036,0.04490747753852031,0.03796380601660084,0.02868542349883277,0.0016831180189670549,0.6666666666666666,0.3333333333333333,patch_8_stride_4,20260823
development_2024,2024-05-20,422,0.07429367630988831,-0.0018408308476829732,0.025615601009551736,0.03298383084507676,0.0021540085171651902,0.8,0.2,patch_8_stride_4,20260823
development_2024,2024-05-27,422,-0.01625279207764908,-0.02747815713688421,-0.0540965391409968,0.0333810663606727,0.002250959413036553,0.7333333333333333,0.26666666666666666,patch_8_stride_4,20260823
development_2024,2024-06-03,422,-0.12714118342740335,-0.034210090147463214,-0.0465361209582435,0.0322574095395686,0.0018363212823778404,0.8,0.2,patch_8_stride_4,20260823
development_2024,2024-06-10,422,0.049921795475758236,0.018252214210331217,0.009552491532704883,0.030763886748335526,0.0017876884585147261,0.4666666666666667,0.5333333333333333,patch_8_stride_4,20260823
development_2024,2024-06-17,422,-0.21983133004731037,-0.02647236354408579,-0.023900824348358482,0.03022198637281223,0.0015479619764930718,0.4,0.6,patch_8_stride_4,20260823
development_2024,2024-06-24,422,-0.18459605000985832,-0.023513480526777937,-0.02693081519928428,0.027994159398341906,0.0015313494300179115,0.7333333333333333,0.26666666666666666,patch_8_stride_4,20260823
development_2024,2024-07-01,423,0.23194669847786945,0.018918719380866464,0.022224370801870376,0.02535080291834602,0.001286077956769374,0.4666666666666667,0.5333333333333333,patch_8_stride_4,20260823
development_2024,2024-07-08,423,-0.1302768957187423,-0.005697153573199054,-0.012099180877243675,0.035663375454744684,0.0021085400011931488,0.6666666666666666,0.3333333333333333,patch_8_stride_4,20260823
development_2024,2024-07-15,423,-0.29288265560123866,-0.03407993827117478,-0.045289946065772815,0.040494221305211166,0.003190569086691674,0.4666666666666667,0.5333333333333333,patch_8_stride_4,20260823
development_2024,2024-07-22,423,-0.1509096253622044,-0.021698680171353114,-0.008860052401547873,0.03915393689470107,0.003199807150743536,0.4666666666666667,0.5333333333333333,patch_8_stride_4,20260823
development_2024,2024-07-29,423,0.02554329868728053,-0.02699497026460659,-0.018445012675743992,0.05152685358714073,0.004594534782155976,0.4,0.6,patch_8_stride_4,20260823
development_2024,2024-08-05,423,-0.08029791927082838,0.0025699919090372055,-0.022032491798706318,0.03596870084029358,0.002702607530015904,0.4666666666666667,0.5333333333333333,patch_8_stride_4,20260823
development_2024,2024-08-12,423,-0.1297671617824167,0.01263516576615905,-0.013013358171644784,0.03885799954590173,0.002895966670218722,0.3333333333333333,0.6666666666666666,patch_8_stride_4,20260823
development_2024,2024-08-19,423,0.05269776883986141,0.002958219338864282,0.01086407772750135,0.03020724473651857,0.0016524537183866981,0.4666666666666667,0.5333333333333333,patch_8_stride_4,20260823
development_2024,2024-08-26,423,0.009640075519896905,-0.016808630026166893,-0.0010148343616711453,0.02438858508569253,0.0016122643874474758,0.5333333333333333,0.4666666666666667,patch_8_stride_4,20260823
development_2024,2024-09-02,423,0.26554220787251165,-0.011262049788694634,0.018879867173906904,0.050424561575475146,0.0037839631987305273,0.4666666666666667,0.5333333333333333,patch_8_stride_4,20260823
development_2024,2024-09-09,423,-0.0291678795639024,0.013290068190013979,-0.0005296730580610365,0.03985208484858309,0.0032051705527854158,0.6666666666666666,0.3333333333333333,patch_8_stride_4,20260823
development_2024,2024-09-16,423,-0.2314142920834118,-0.012083769259220474,-0.02483905333671798,0.033309577203621335,0.0021585772584857134,0.6,0.4,patch_8_stride_4,20260823
development_2024,2024-09-23,423,-0.25974329069642815,-0.03521859232050759,-0.08915339030276304,0.03902510558887387,0.0043013417205245204,0.4666666666666667,0.5333333333333333,patch_8_stride_4,20260823
development_2024,2024-09-30,423,0.07401859966019851,0.03461548258644968,0.0201983869840021,0.034762941276595766,0.0019298618418439031,0.5333333333333333,0.4666666666666667,patch_8_stride_4,20260823
