decision_date,n_symbols,rank_ic,top15_excess,top15_bottom15_spread,mae,mse,arm,seed
2024-01-08,419,0.0670181093871585,-0.026592030175100048,-0.003966388962026511,0.03073751630858444,0.0018247537143299638,corrected_control_16_8,20260823
2024-01-15,419,0.11111783581322585,0.02461665540122386,0.05522592038140711,0.03319871678986608,0.002238131430942382,corrected_control_16_8,20260823
2024-01-22,419,-0.20884735161836027,-0.03429220011682458,-0.05779415965140578,0.03154077082661578,0.0018965236739211305,corrected_control_16_8,20260823
2024-01-29,419,0.22652933048611984,0.015048710245993864,0.04054385474278162,0.031844879685661284,0.0020884959131143932,corrected_control_16_8,20260823
2024-02-05,419,0.13559218071214052,0.017690609040642475,0.03175930692769358,0.035889854528014596,0.0034501377367283275,corrected_control_16_8,20260823
2024-02-12,419,-0.057345957647427316,0.01900351776383731,-0.005130316798834456,0.031176083535935976,0.0017978202490453112,corrected_control_16_8,20260823
2024-02-19,419,0.073439106285965,0.019068323066278925,0.02521622942691002,0.02713650603389369,0.0016303516566863294,corrected_control_16_8,20260823
2024-02-26,419,0.16533425122798318,0.032123013539450046,0.033430828016625475,0.03367257287692913,0.0034292820696780755,corrected_control_16_8,20260823
2024-03-04,420,-0.1922874522288351,0.017099307759130947,0.009107393266729564,0.03023519706950918,0.001902364629563847,corrected_control_16_8,20260823
2024-03-11,420,-0.22518851337835571,0.007762541093463376,-0.011328105830598078,0.03749275972483845,0.0027804859995013555,corrected_control_16_8,20260823
2024-03-18,420,0.24202890686941048,0.013583257669609387,0.024728350986134524,0.02734395956278944,0.0016025172557804462,corrected_control_16_8,20260823
2024-03-25,421,-0.15149039025951364,-0.0033694960406950754,-0.016399598854487146,0.02617882600856656,0.0012725502133610785,corrected_control_16_8,20260823
2024-04-01,421,0.1531630688771777,0.009964837114974881,-0.000892158804332634,0.034445458445460424,0.0020238112908744243,corrected_control_16_8,20260823
2024-04-08,421,-0.11233272811775812,-0.01532195467551923,-0.023084896330646507,0.03629667053069748,0.00193629811704129,corrected_control_16_8,20260823
2024-04-15,421,-0.20850620037728143,-0.0736556885641053,-0.0776968469914133,0.044562577226977325,0.0038197249091418,corrected_control_16_8,20260823
2024-04-22,421,0.03377344138227163,0.01579445910394703,0.008181134683178978,0.04055471438834112,0.003160877021815762,corrected_control_16_8,20260823
2024-04-29,421,-0.16042549496073605,0.028315877834448774,-0.00123513901809532,0.03503192774825832,0.0026651499130163738,corrected_control_16_8,20260823
2024-05-06,421,0.0807020393459812,0.006368511045271166,0.032540579038921845,0.030089420396559652,0.0018064701314859043,corrected_control_16_8,20260823
2024-05-13,421,-0.05737797454878204,0.03379367995875561,0.0015155515915100462,0.029809500141166977,0.0018108753292142912,corrected_control_16_8,20260823
2024-05-20,421,0.16454857297243403,0.010154785456866863,0.03754570059364769,0.032150311715770236,0.002055130450813167,corrected_control_16_8,20260823
2024-05-27,421,6.030713216267808e-05,-0.01934063653495937,-0.03784041046841589,0.03231784584945684,0.002148350697602674,corrected_control_16_8,20260823
2024-06-03,421,-0.09595669207969121,-0.021942553918491325,-0.024197333514248905,0.031552599744785345,0.001763022571015537,corrected_control_16_8,20260823
2024-06-10,421,0.06589841005868333,0.011733745069033276,0.0018853605993744225,0.030112374086190677,0.001751005111192537,corrected_control_16_8,20260823
2024-06-17,421,-0.18639857813466754,-0.035831943173487396,-0.016042844553473927,0.03082880897132321,0.001605178278572845,corrected_control_16_8,20260823
2024-06-24,421,-0.12155923688159057,-0.00430409678472635,4.0185770344402724e-05,0.027802707585886342,0.0014927684032175717,corrected_control_16_8,20260823
2024-07-01,422,0.30136011715927874,0.03277715686893359,0.03050621854259182,0.025080196225339507,0.0012868461536064278,corrected_control_16_8,20260823
2024-07-08,422,-0.14754632890840375,0.0032424404122996797,-0.0014510983742796468,0.036556619330764886,0.0022226068427200654,corrected_control_16_8,20260823
2024-07-15,422,-0.24108086029324474,-0.034183796230360455,-0.038108561042420615,0.03918987553896545,0.003013556091672546,corrected_control_16_8,20260823
2024-07-22,422,-0.06228202393404451,-0.013550406704872037,0.020083627988781015,0.03776333931524269,0.0030112860458734376,corrected_control_16_8,20260823
2024-07-29,422,-0.03839556362144677,-0.03589392259972432,-0.034335271384206875,0.05037299923913222,0.004448428596942045,corrected_control_16_8,20260823
2024-08-05,422,-0.14113970978919171,0.013320461373156192,-0.02225171554974113,0.03679271176744855,0.002964772016258476,corrected_control_16_8,20260823
2024-08-12,422,-0.15005088553282028,0.0019083775559851218,-0.011125581449791387,0.04020989647175215,0.003060027236899815,corrected_control_16_8,20260823
2024-08-19,422,0.07434381534591425,0.006899800730672874,0.008191552273225738,0.03047217977387952,0.0016644253156022015,corrected_control_16_8,20260823
2024-08-26,422,0.06105856758362821,0.002452310101557096,0.013577510327332069,0.023939452588167282,0.0015250644820576427,corrected_control_16_8,20260823
2024-09-02,422,0.21438709299857067,0.0017445358876716915,0.028802207721792254,0.05056761683926773,0.0038459701205692813,corrected_control_16_8,20260823
2024-09-09,422,-0.10603711518190054,0.0027488601800079032,-0.023931930662722305,0.04320750420270141,0.0036673221281833587,corrected_control_16_8,20260823
